time_UTC,latitude_degrees_north,longitude_degrees_east,sea_surface_temperature_degree_C
2006-01-16 00:00:00+00:00,39.525,-123.975,12.33
2006-02-16 00:00:00+00:00,39.525,-123.975,11.32
2006-03-16 00:00:00+00:00,39.525,-123.975,11.0
2006-04-15 23:00:00+00:00,39.525,-123.975,11.45
2006-05-15 23:00:00+00:00,39.525,-123.975,10.73
2006-06-15 23:00:00+00:00,39.525,-123.975,12.16
2006-07-15 23:00:00+00:00,39.525,-123.975,12.07
2006-08-15 23:00:00+00:00,39.525,-123.975,12.44
2006-09-15 23:00:00+00:00,39.525,-123.975,11.84
2006-10-15 23:00:00+00:00,39.525,-123.975,12.92
2006-11-16 00:00:00+00:00,39.525,-123.975,12.81
2006-12-16 00:00:00+00:00,39.525,-123.975,11.89
2007-01-16 00:00:00+00:00,39.525,-123.975,10.47
2007-02-16 00:00:00+00:00,39.525,-123.975,10.93
2007-03-15 23:00:00+00:00,39.525,-123.975,10.51
2007-04-15 23:00:00+00:00,39.525,-123.975,9.98
2007-05-15 23:00:00+00:00,39.525,-123.975,9.59
2007-06-15 23:00:00+00:00,39.525,-123.975,10.5
2007-07-15 23:00:00+00:00,39.525,-123.975,13.17
2007-08-15 23:00:00+00:00,39.525,-123.975,13.65
2007-09-15 23:00:00+00:00,39.525,-123.975,13.76
2007-10-15 23:00:00+00:00,39.525,-123.975,12.97
2007-11-16 00:00:00+00:00,39.525,-123.975,12.11
2007-12-16 00:00:00+00:00,39.525,-123.975,10.15
2008-01-16 00:00:00+00:00,39.525,-123.975,10.12
2008-02-16 00:00:00+00:00,39.525,-123.975,10.06
2008-03-15 23:00:00+00:00,39.525,-123.975,9.65
2008-04-15 23:00:00+00:00,39.525,-123.975,9.18
2008-05-15 23:00:00+00:00,39.525,-123.975,9.71
2008-06-15 23:00:00+00:00,39.525,-123.975,9.49
2008-07-15 23:00:00+00:00,39.525,-123.975,11.43
2008-08-15 23:00:00+00:00,39.525,-123.975,12.35
2008-09-15 23:00:00+00:00,39.525,-123.975,12.73
2008-10-15 23:00:00+00:00,39.525,-123.975,11.96
2008-11-16 00:00:00+00:00,39.525,-123.975,12.22
2008-12-16 00:00:00+00:00,39.525,-123.975,11.4
2009-01-16 00:00:00+00:00,39.525,-123.975,10.58
2009-02-16 00:00:00+00:00,39.525,-123.975,10.27
2009-03-15 23:00:00+00:00,39.525,-123.975,10.19
2009-04-15 23:00:00+00:00,39.525,-123.975,8.98
2009-05-15 23:00:00+00:00,39.525,-123.975,9.95
2009-06-15 23:00:00+00:00,39.525,-123.975,11.68
2009-07-15 23:00:00+00:00,39.525,-123.975,11.28
2009-08-15 23:00:00+00:00,39.525,-123.975,12.29
2009-09-15 23:00:00+00:00,39.525,-123.975,13.29
2009-10-15 23:00:00+00:00,39.525,-123.975,12.13
2009-11-16 00:00:00+00:00,39.525,-123.975,11.63
2009-12-16 00:00:00+00:00,39.525,-123.975,11.03
2010-01-16 00:00:00+00:00,39.525,-123.975,11.84
2010-02-16 00:00:00+00:00,39.525,-123.975,11.71
2010-03-15 23:00:00+00:00,39.525,-123.975,11.38
2010-04-15 23:00:00+00:00,39.525,-123.975,10.83
2010-05-15 23:00:00+00:00,39.525,-123.975,10.26
2010-06-15 23:00:00+00:00,39.525,-123.975,10.68
2010-07-15 23:00:00+00:00,39.525,-123.975,10.7
2010-08-15 23:00:00+00:00,39.525,-123.975,11.47
2010-09-15 23:00:00+00:00,39.525,-123.975,12.51
2010-10-15 23:00:00+00:00,39.525,-123.975,12.07
2010-11-16 00:00:00+00:00,39.525,-123.975,11.9
2010-12-16 00:00:00+00:00,39.525,-123.975,11.67
2011-01-16 00:00:00+00:00,39.525,-123.975,10.78
2011-02-16 00:00:00+00:00,39.525,-123.975,10.06
2011-03-15 23:00:00+00:00,39.525,-123.975,10.65
2011-04-15 23:00:00+00:00,39.525,-123.975,9.7
2011-05-15 23:00:00+00:00,39.525,-123.975,10.12
2011-06-15 23:00:00+00:00,39.525,-123.975,10.69
2011-07-15 23:00:00+00:00,39.525,-123.975,11.43
2011-08-15 23:00:00+00:00,39.525,-123.975,12.12
2011-09-15 23:00:00+00:00,39.525,-123.975,12.37
2011-10-15 23:00:00+00:00,39.525,-123.975,13.04
2011-11-16 00:00:00+00:00,39.525,-123.975,11.75
2011-12-16 00:00:00+00:00,39.525,-123.975,10.57
2012-01-16 00:00:00+00:00,39.525,-123.975,10.68
2012-02-16 00:00:00+00:00,39.525,-123.975,10.13
2012-03-15 23:00:00+00:00,39.525,-123.975,9.47
2012-04-15 23:00:00+00:00,39.525,-123.975,10.76
2012-05-15 23:00:00+00:00,39.525,-123.975,9.72
2012-06-15 23:00:00+00:00,39.525,-123.975,10.3
2012-07-15 23:00:00+00:00,39.525,-123.975,11.45
2012-08-15 23:00:00+00:00,39.525,-123.975,11.8
2012-09-15 23:00:00+00:00,39.525,-123.975,12.31
2012-10-15 23:00:00+00:00,39.525,-123.975,13.03
2012-11-16 00:00:00+00:00,39.525,-123.975,14.03
2012-12-16 00:00:00+00:00,39.525,-123.975,12.45
2013-01-16 00:00:00+00:00,39.525,-123.975,10.67
2013-02-16 00:00:00+00:00,39.525,-123.975,9.81
2013-03-15 23:00:00+00:00,39.525,-123.975,9.48
2013-04-15 23:00:00+00:00,39.525,-123.975,9.71
2013-05-15 23:00:00+00:00,39.525,-123.975,10.59
2013-06-15 23:00:00+00:00,39.525,-123.975,11.43
2013-07-15 23:00:00+00:00,39.525,-123.975,12.13
2013-08-15 23:00:00+00:00,39.525,-123.975,13.36
2013-09-15 23:00:00+00:00,39.525,-123.975,14.17
2013-10-15 23:00:00+00:00,39.525,-123.975,11.41
2013-11-16 00:00:00+00:00,39.525,-123.975,12.09
2013-12-16 00:00:00+00:00,39.525,-123.975,11.1
2014-01-16 00:00:00+00:00,39.525,-123.975,11.23
2014-02-16 00:00:00+00:00,39.525,-123.975,11.21
2014-03-15 23:00:00+00:00,39.525,-123.975,11.57
2014-04-15 23:00:00+00:00,39.525,-123.975,11.5
2014-05-15 23:00:00+00:00,39.525,-123.975,11.68
2014-06-15 23:00:00+00:00,39.525,-123.975,11.22
2014-07-15 23:00:00+00:00,39.525,-123.975,13.17
2014-08-15 23:00:00+00:00,39.525,-123.975,13.7
2014-09-15 23:00:00+00:00,39.525,-123.975,15.65
2014-10-15 23:00:00+00:00,39.525,-123.975,15.17
2014-11-16 00:00:00+00:00,39.525,-123.975,15.37
2014-12-16 00:00:00+00:00,39.525,-123.975,14.78
2015-01-16 00:00:00+00:00,39.525,-123.975,13.05
2015-02-16 00:00:00+00:00,39.525,-123.975,13.08
2015-03-15 23:00:00+00:00,39.525,-123.975,12.27
2015-04-15 23:00:00+00:00,39.525,-123.975,10.89
2015-05-15 23:00:00+00:00,39.525,-123.975,10.67
2015-06-15 23:00:00+00:00,39.525,-123.975,11.89
2015-07-15 23:00:00+00:00,39.525,-123.975,14.08
2015-08-15 23:00:00+00:00,39.525,-123.975,15.19
2015-09-15 23:00:00+00:00,39.525,-123.975,14.25
2015-10-15 23:00:00+00:00,39.525,-123.975,15.0
2015-11-16 00:00:00+00:00,39.525,-123.975,12.9
2015-12-16 00:00:00+00:00,39.525,-123.975,12.6
2016-01-16 00:00:00+00:00,39.525,-123.975,12.52
2016-02-16 00:00:00+00:00,39.525,-123.975,12.72
2016-03-15 23:00:00+00:00,39.525,-123.975,12.73
2016-04-15 23:00:00+00:00,39.525,-123.975,11.87
2016-05-15 23:00:00+00:00,39.525,-123.975,11.47
2016-06-15 23:00:00+00:00,39.525,-123.975,11.77
2016-07-15 23:00:00+00:00,39.525,-123.975,12.45
2016-08-15 23:00:00+00:00,39.525,-123.975,12.69
2016-09-15 23:00:00+00:00,39.525,-123.975,12.89
2016-10-15 23:00:00+00:00,39.525,-123.975,13.24
2016-11-16 00:00:00+00:00,39.525,-123.975,14.38
2016-12-16 00:00:00+00:00,39.525,-123.975,12.16
2017-01-16 00:00:00+00:00,39.525,-123.975,11.14
2017-02-16 00:00:00+00:00,39.525,-123.975,11.87
2017-03-15 23:00:00+00:00,39.525,-123.975,11.7
2017-04-15 23:00:00+00:00,39.525,-123.975,11.12
2017-05-15 23:00:00+00:00,39.525,-123.975,10.06
2017-06-15 23:00:00+00:00,39.525,-123.975,11.27
2017-07-15 23:00:00+00:00,39.525,-123.975,11.82
2017-08-15 23:00:00+00:00,39.525,-123.975,13.12
2017-09-15 23:00:00+00:00,39.525,-123.975,14.19
2017-10-15 23:00:00+00:00,39.525,-123.975,11.73
2017-11-16 00:00:00+00:00,39.525,-123.975,13.11
2017-12-16 00:00:00+00:00,39.525,-123.975,12.52
2018-01-16 00:00:00+00:00,39.525,-123.975,12.3
2018-02-16 00:00:00+00:00,39.525,-123.975,11.28
2018-03-15 23:00:00+00:00,39.525,-123.975,10.89
2018-04-15 23:00:00+00:00,39.525,-123.975,11.24
2018-05-15 23:00:00+00:00,39.525,-123.975,11.06
2018-06-15 23:00:00+00:00,39.525,-123.975,10.53
2018-07-15 23:00:00+00:00,39.525,-123.975,12.69
2018-08-15 23:00:00+00:00,39.525,-123.975,12.79
2018-09-15 23:00:00+00:00,39.525,-123.975,12.41
2018-10-15 23:00:00+00:00,39.525,-123.975,13.6
2018-11-16 00:00:00+00:00,39.525,-123.975,12.41
2018-12-16 00:00:00+00:00,39.525,-123.975,13.09
2019-01-16 00:00:00+00:00,39.525,-123.975,12.22
2019-02-16 00:00:00+00:00,39.525,-123.975,12.07
2019-03-15 23:00:00+00:00,39.525,-123.975,11.59
2019-04-15 23:00:00+00:00,39.525,-123.975,10.98
2019-05-15 23:00:00+00:00,39.525,-123.975,11.34
2019-06-15 23:00:00+00:00,39.525,-123.975,11.2
2019-07-15 23:00:00+00:00,39.525,-123.975,11.83
2019-08-15 23:00:00+00:00,39.525,-123.975,12.91
2019-09-15 23:00:00+00:00,39.525,-123.975,14.17
2019-10-15 23:00:00+00:00,39.525,-123.975,13.27
2019-11-16 00:00:00+00:00,39.525,-123.975,12.37
2019-12-16 00:00:00+00:00,39.525,-123.975,12.08
2020-01-16 00:00:00+00:00,39.525,-123.975,11.46
2020-02-16 00:00:00+00:00,39.525,-123.975,10.5
2020-03-15 23:00:00+00:00,39.525,-123.975,10.71
2020-04-15 23:00:00+00:00,39.525,-123.975,11.23
2020-05-15 23:00:00+00:00,39.525,-123.975,11.65
2020-06-15 23:00:00+00:00,39.525,-123.975,11.26
2020-07-15 23:00:00+00:00,39.525,-123.975,10.75
2020-08-15 23:00:00+00:00,39.525,-123.975,12.68
2020-09-15 23:00:00+00:00,39.525,-123.975,15.0
2020-10-15 23:00:00+00:00,39.525,-123.975,13.42
2020-11-16 00:00:00+00:00,39.525,-123.975,11.43
2020-12-16 00:00:00+00:00,39.525,-123.975,11.29
2021-01-16 00:00:00+00:00,39.525,-123.975,11.3
2021-02-16 00:00:00+00:00,39.525,-123.975,10.35
2021-03-15 23:00:00+00:00,39.525,-123.975,9.47
2021-04-15 23:00:00+00:00,39.525,-123.975,9.76
2021-05-15 23:00:00+00:00,39.525,-123.975,9.69
2021-06-15 23:00:00+00:00,39.525,-123.975,11.04
2021-07-15 23:00:00+00:00,39.525,-123.975,11.32
2021-08-15 23:00:00+00:00,39.525,-123.975,12.03
2021-09-16 00:00:00+00:00,39.525,-123.975,13.0
2021-10-16 00:00:00+00:00,39.525,-123.975,12.18
2021-11-16 00:00:00+00:00,39.525,-123.975,13.35
2021-12-16 00:00:00+00:00,39.525,-123.975,11.92
2022-01-16 00:00:00+00:00,39.525,-123.975,11.34
2022-02-16 00:00:00+00:00,39.525,-123.975,10.6
2022-03-16 00:00:00+00:00,39.525,-123.975,10.19
2022-04-16 00:00:00+00:00,39.525,-123.975,10.18
2022-05-16 00:00:00+00:00,39.525,-123.975,10.19
2022-06-16 00:00:00+00:00,39.525,-123.975,11.38
2022-07-16 00:00:00+00:00,39.525,-123.975,11.89
2022-08-16 00:00:00+00:00,39.525,-123.975,13.78
2022-09-16 00:00:00+00:00,39.525,-123.975,14.28
2022-10-16 00:00:00+00:00,39.525,-123.975,12.32
2022-11-16 00:00:00+00:00,39.525,-123.975,11.77
2022-12-16 00:00:00+00:00,39.525,-123.975,11.46
2023-01-16 00:00:00+00:00,39.525,-123.975,11.79
2023-02-16 00:00:00+00:00,39.525,-123.975,10.13
2023-03-16 00:00:00+00:00,39.525,-123.975,9.68
2023-04-16 00:00:00+00:00,39.525,-123.975,9.82
2023-05-16 00:00:00+00:00,39.525,-123.975,10.83
2023-06-16 00:00:00+00:00,39.525,-123.975,11.49
2023-07-16 00:00:00+00:00,39.525,-123.975,11.65
2023-08-16 00:00:00+00:00,39.525,-123.975,12.69
2023-09-16 00:00:00+00:00,39.525,-123.975,12.81
2023-10-16 00:00:00+00:00,39.525,-123.975,13.7
2023-11-16 00:00:00+00:00,39.525,-123.975,14.31
2023-12-16 00:00:00+00:00,39.525,-123.975,13.38
2024-01-16 00:00:00+00:00,39.525,-123.975,12.81
2024-02-16 00:00:00+00:00,39.525,-123.975,12.66
2024-03-16 00:00:00+00:00,39.525,-123.975,11.97
2024-04-16 00:00:00+00:00,39.525,-123.975,11.23
2024-05-16 00:00:00+00:00,39.525,-123.975,10.05
2024-06-16 00:00:00+00:00,39.525,-123.975,10.13
2024-07-16 00:00:00+00:00,39.525,-123.975,11.59
2024-08-16 00:00:00+00:00,39.525,-123.975,13.52
2024-09-16 00:00:00+00:00,39.525,-123.975,12.89
2024-10-16 00:00:00+00:00,39.525,-123.975,12.89
2024-11-16 00:00:00+00:00,39.525,-123.975,12.76
2024-12-16 00:00:00+00:00,39.525,-123.975,12.69
2025-01-16 00:00:00+00:00,39.525,-123.975,11.66
2025-02-16 00:00:00+00:00,39.525,-123.975,11.02
2025-03-16 00:00:00+00:00,39.525,-123.975,11.13
